"Date","total_column"
"1996-06-01",7760933191500000
"1996-09-01",8542321003333333
"1997-01-01",24373223501833332
"1997-02-01",16122906473333334
"1997-03-01",14615668309333334
"1997-04-01",16417583170833334
"1997-08-01",7883731140333333
"1997-10-01",23037528160166668
"1997-11-01",21138029423333332
"1998-01-01",18698070116666668
"1998-02-01",40948980897666664
"1998-03-01",2.7892174486e+16
"1998-04-01",23065094661666668
"1998-09-01",1.3292547555e+16
"1998-10-01",1.6700310875e+16
"1999-01-01",3.5066129915e+16
"1999-02-01",2.431779375e+16
"1999-03-01",22024676047166668
"1999-04-01",13877102318333334
"1999-08-01",8686312513166667
"1999-09-01",14270825846166666
"1999-10-01",20604429631666668
"1999-11-01",10406995693333334
"2000-01-01",18138324189500000
"2000-02-01",33874175166666668
"2000-05-01",1.1012815259e+16
"2000-08-01",8.994154713e+15
"2000-09-01",14364771667333334
"2001-03-01",16188881054833334
"2001-10-01",12322219703333334
"2001-12-01",68988808167166664
"2002-01-01",72290029336666672
"2002-04-01",1.992452293e+16
"2002-05-01",12693958672500000
"2002-08-01",12049550706333334
"2002-09-01",17558716090166666
"2002-10-01",23202313637333332
"2002-11-01",23831233479166668
"2002-12-01",28356238810666668
"2003-01-01",65569671968333336
"2003-03-01",1.2915543144e+16
"2003-06-01",7.283078579e+15
"2003-09-01",9086333607166666
"2003-11-01",14720583310666666
"2004-01-01",23238567206666668
"2004-02-01",25171723256333332
"2004-07-01",9.574667816e+15
"2004-10-01",18357974710166668
"2004-11-01",2.9219043195e+16
"2005-01-01",25385173971666668
"2005-02-01",14847165193333334
"2005-03-01",22455794874666668
"2005-04-01",16466342778333334
"2005-05-01",1.1786455528e+16
"2005-07-01",7427082196333333
"2006-04-01",15040329408500000
"2006-09-01",1.5757140398e+16
"2006-12-01",38067468956666664
"2007-01-01",28445359039166668
"2007-08-01",9828314354333334
"2007-09-01",10027521722833334
"2007-10-01",16582131761166666
"2007-11-01",21157418307500000
"2008-02-01",15730521568333334
"2008-03-01",17487951094500000
"2008-04-01",8.726439317e+15
"2008-05-01",7894074310500000
"2008-07-01",6756637158333333
"2008-08-01",7090847537666667
"2008-09-01",12510275157666666
"2008-10-01",15933777926500000
"2008-11-01",1.421686259e+16
"2008-12-01",22889454593333332
"2009-01-01",3.214324207e+16
"2009-02-01",40954018258333336
"2009-03-01",1.731853823e+16
"2009-07-01",4267339132833334
"2009-08-01",7275268318666667
"2009-09-01",9860006600333334
"2009-10-01",9.604653014e+15
"2009-11-01",17598552408333334
"2009-12-01",2.0235853868e+16
"2010-01-01",25000075304166668
"2010-02-01",21870912689333332
"2010-03-01",1.9022783114e+16
"2010-04-01",9801950901666666
"2010-07-01",5488522673166667
"2010-08-01",5780084863333333
"2010-09-01",8115940583833333
"2010-10-01",10785390818833334
"2010-11-01",18847206059500000
"2010-12-01",9422590345333334
"2011-01-01",23643334095333332
"2011-02-01",3.3183358555e+16
"2011-03-01",13616434091333334
"2011-04-01",8728233263500000
"2011-05-01",8760540525500000
"2011-06-01",4302019604833334
"2011-07-01",5261208151166667
"2011-08-01",8966863736833333
"2011-09-01",11586163688666666
"2011-10-01",14905493474500000
"2011-11-01",2.0912017089e+16
"2011-12-01",10086050855333334
"2012-01-01",14300365786500000
"2012-02-01",14652286239166666
"2012-03-01",13797406729833334
"2012-04-01",12318643413166666
"2012-05-01",8212920223833333
"2012-06-01",4641246481500000
"2012-07-01",5092246538500000
"2012-08-01",6023576605666667
"2012-09-01",9359342059333334
"2012-10-01",12279603182500000
"2012-11-01",15930839958500000
"2012-12-01",14879699760166666
"2013-01-01",2.0229078926e+16
"2013-02-01",22342235551500000
"2013-03-01",13710488103500000
"2013-04-01",12104962243500000
"2013-05-01",6704959549166667
"2013-06-01",4570891311500000
"2013-07-01",5861205962833333
"2013-08-01",7.044480079e+15
"2013-09-01",10139078632833334
"2013-10-01",23351153308333332
"2013-11-01",1.6800639472e+16
"2013-12-01",13557587913166666
"2014-01-01",18198913289166668
"2014-02-01",19267173259333332
"2014-03-01",16544384487333334
"2014-04-01",1.2505123616e+16
"2014-05-01",8.239175038e+15
"2014-06-01",4372491368333334
"2014-07-01",5431035428166667
"2014-08-01",5.500944242e+15
"2014-09-01",7942762468500000
"2014-10-01",13245428823833334
"2014-11-01",2.037919359e+16
"2014-12-01",1.5231232016e+16
"2015-01-01",17712363997666666
"2015-02-01",15608961963333334
"2015-03-01",18387494463333332
"2015-04-01",9592299525333334
"2015-05-01",5665062001333333
"2015-06-01",4824472396500000
"2015-07-01",4.257892348e+15
"2015-08-01",5725510919833333
"2015-09-01",9288858892666666
"2015-10-01",18878074294500000
"2015-11-01",18590870934833332
"2015-12-01",25635030422666668
